name,created_at,closed_at,lifespan,pr_id,merged_at,merged
google/closure-compiler,2018-04-22 04:54:06 UTC,2018-04-24 18:06:55 UTC,3672,2901,,false
google/closure-compiler,2018-09-04 11:20:29 UTC,2018-09-19 16:13:16 UTC,21893,3066,,false
google/closure-compiler,2018-10-31 18:00:02 UTC,2018-11-02 06:17:22 UTC,2177,3133,,false
google/closure-compiler,2018-09-18 22:02:29 UTC,2018-09-22 01:03:01 UTC,4501,3076,,false
google/closure-compiler,2018-06-23 18:05:33 UTC,2018-06-28 16:31:49 UTC,7106,2989,,false
google/closure-compiler,2018-02-27 23:54:06 UTC,2018-03-05 21:11:08 UTC,8477,2830,,false
google/closure-compiler,2018-03-26 18:51:06 UTC,2018-03-27 19:53:55 UTC,1502,2863,,false
google/closure-compiler,2018-09-30 14:10:46 UTC,2018-10-04 00:41:47 UTC,4951,3094,,false
google/closure-compiler,2018-06-02 17:56:26 UTC,2018-06-22 10:44:53 UTC,28368,2961,,false
google/closure-compiler,2018-02-11 17:03:05 UTC,2018-02-25 05:55:14 UTC,19492,2814,,false
google/closure-compiler,2018-12-06 02:30:30 UTC,2018-12-21 00:16:31 UTC,21466,3165,,false
google/closure-compiler,2018-12-01 03:32:43 UTC,2018-12-17 21:11:56 UTC,24099,3158,,false
google/closure-compiler,2018-12-06 09:42:27 UTC,2018-12-07 19:40:48 UTC,2038,3166,,false
google/closure-compiler,2018-06-06 12:12:00 UTC,2018-06-18 16:05:21 UTC,17513,2967,,false
google/closure-compiler,2018-06-30 22:16:12 UTC,2018-08-08 03:14:06 UTC,55018,2997,,false
google/closure-compiler,2018-12-01 03:43:55 UTC,2018-12-07 19:40:23 UTC,9597,3159,,false
google/closure-compiler,2018-06-13 19:07:08 UTC,2018-06-13 21:28:47 UTC,141,2972,,false
google/closure-compiler,2018-10-18 14:24:47 UTC,2018-10-19 22:53:35 UTC,1949,3124,,false
google/closure-compiler,2017-10-31 21:43:34 UTC,2018-03-26 18:12:49 UTC,210029,2700,,false
google/closure-compiler,2018-10-13 01:28:53 UTC,2018-10-23 02:15:49 UTC,14447,3107,,false
google/closure-compiler,2018-06-23 07:52:55 UTC,2018-06-25 16:47:49 UTC,3415,2988,,false
google/closure-compiler,2018-05-19 15:33:03 UTC,2018-06-01 22:36:56 UTC,19143,2941,,false
google/closure-compiler,2018-02-18 13:55:25 UTC,2018-03-23 17:27:06 UTC,47732,2823,,false
google/closure-compiler,2018-04-13 17:08:10 UTC,2018-04-17 22:49:39 UTC,6101,2888,,false
google/closure-compiler,2017-04-04 12:35:31 UTC,2018-05-23 23:19:32 UTC,596804,2401,,false
google/closure-compiler,2018-02-07 15:45:57 UTC,2018-02-07 23:58:59 UTC,493,2812,,false
google/closure-compiler,2018-07-02 12:14:53 UTC,2018-07-06 23:04:20 UTC,6410,3001,,false
google/closure-compiler,2018-05-19 11:51:22 UTC,2018-05-31 01:21:55 UTC,16650,2938,,false
google/closure-compiler,2018-09-23 13:09:57 UTC,2018-09-28 15:35:22 UTC,7346,3083,,false
google/closure-compiler,2017-02-07 12:49:44 UTC,2018-06-17 12:47:45 UTC,712798,2286,,false
google/closure-compiler,2018-04-24 13:12:13 UTC,2018-05-05 00:56:11 UTC,15104,2905,,false
google/closure-compiler,2018-05-15 01:05:38 UTC,2018-05-17 17:45:28 UTC,3880,2925,,false
google/closure-compiler,2018-06-19 02:17:30 UTC,2018-06-26 17:05:26 UTC,10968,2979,,false
google/closure-compiler,2018-03-01 06:52:45 UTC,2018-03-22 17:54:03 UTC,30902,2831,,false
google/closure-compiler,2018-12-10 01:59:58 UTC,2018-12-12 02:34:48 UTC,2915,3170,,false
google/closure-compiler,2018-05-19 13:26:39 UTC,2018-06-14 18:45:00 UTC,37759,2940,,false
google/closure-compiler,2018-06-21 17:30:56 UTC,2018-06-25 15:59:05 UTC,5669,2985,,false
google/closure-compiler,2018-06-22 21:57:56 UTC,2018-08-07 00:08:55 UTC,64931,2987,,false
google/closure-compiler,2018-02-25 20:27:10 UTC,2018-02-27 21:01:30 UTC,2914,2829,,false
google/closure-compiler,2017-03-06 13:38:07 UTC,2017-03-10 22:51:48 UTC,6313,2353,,false
google/closure-compiler,2016-04-24 12:53:29 UTC,2017-01-20 18:03:10 UTC,390550,1756,,false
google/closure-compiler,2017-08-02 14:38:18 UTC,2017-08-02 20:36:34 UTC,358,2596,,false
google/closure-compiler,2017-04-24 13:41:44 UTC,2017-05-04 16:37:17 UTC,14576,2453,,false
google/closure-compiler,2017-04-09 12:17:31 UTC,2017-07-18 15:22:09 UTC,144185,2419,,false
google/closure-compiler,2017-01-18 05:08:25 UTC,2017-01-19 00:31:39 UTC,1163,2245,,false
google/closure-compiler,2017-04-23 22:19:36 UTC,2017-04-25 16:54:49 UTC,2555,2451,,false
google/closure-compiler,2017-08-03 02:39:45 UTC,2017-08-03 22:22:56 UTC,1183,2598,,false
google/closure-compiler,2016-12-09 04:59:20 UTC,2017-01-27 22:54:58 UTC,71635,2190,,false
google/closure-compiler,2017-12-07 15:26:25 UTC,2017-12-13 16:06:04 UTC,8680,2745,,false
google/closure-compiler,2017-09-04 20:40:39 UTC,2017-10-13 20:25:00 UTC,56145,2641,,false
google/closure-compiler,2017-03-01 23:00:39 UTC,2017-04-11 19:48:01 UTC,58848,2343,,false
google/closure-compiler,2017-10-13 17:27:41 UTC,2017-10-13 17:40:28 UTC,13,2678,,false
google/closure-compiler,2017-01-13 09:50:16 UTC,2017-01-25 00:53:18 UTC,16743,2235,,false
google/closure-compiler,2017-03-29 23:12:03 UTC,2017-03-30 16:49:24 UTC,1057,2394,,false
google/closure-compiler,2017-03-06 13:40:50 UTC,2017-03-09 17:59:44 UTC,4579,2354,,false
google/closure-compiler,2017-05-07 20:17:05 UTC,2017-08-12 11:30:23 UTC,139153,2482,,false
google/closure-compiler,2017-05-13 01:22:36 UTC,2017-05-25 12:32:32 UTC,17950,2493,,false
google/closure-compiler,2016-04-20 23:41:15 UTC,2017-01-20 18:08:19 UTC,395667,1746,,false
google/closure-compiler,2017-04-03 03:38:05 UTC,2017-04-06 18:29:39 UTC,5211,2399,,false
google/closure-compiler,2017-02-27 02:28:58 UTC,2017-03-03 16:54:57 UTC,6626,2337,,false
google/closure-compiler,2017-12-04 21:44:13 UTC,2017-12-04 23:45:37 UTC,121,2739,,false
google/closure-compiler,2017-02-03 15:57:02 UTC,2017-04-03 23:26:05 UTC,85409,2279,,false
google/closure-compiler,2016-08-19 07:31:21 UTC,2017-04-19 17:26:16 UTC,350515,1966,,false
google/closure-compiler,2017-03-16 19:11:54 UTC,2017-04-08 13:24:05 UTC,32773,2375,,false
