name,repo_name,login,contributions
neo4j/neo4j,neo4j/neo4j,chrisvest,95
elastic/elasticsearch,elastic/elasticsearch,dnhatn,95
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,mezz,95
ChrisRM/material-theme-jetbrains,ChrisRM/material-theme-jetbrains,mallowigi,94
elastic/elasticsearch,elastic/elasticsearch,tlrx,94
bigbluebutton/bigbluebutton,bigbluebutton/bigbluebutton,antobinary,94
crate/crate,crate/crate,matriv,94
gocd/gocd,gocd/gocd,ketan,94
apache/storm,apache/storm,revans2,92
vespa-engine/vespa,vespa-engine/vespa,bjorncs,91
hazelcast/hazelcast,hazelcast/hazelcast,ahmetmircik,91
confluentinc/ksql,confluentinc/ksql,hjafarpour,91
AsyncHttpClient/async-http-client,AsyncHttpClient/async-http-client,slandelle,91
javaparser/javaparser,javaparser/javaparser,ftomassetti,91
h2oai/h2o-3,h2oai/h2o-3,michal-raska,91
apache/incubator-skywalking,apache/incubator-skywalking,coveralls,90
grpc/grpc-java,grpc/grpc-java,zpencer,89
keycloak/keycloak,keycloak/keycloak,stianst,88
Alluxio/alluxio,Alluxio/alluxio,calvinjia,87
realm/realm-java,realm/realm-java,nhachicha,85
crate/crate,crate/crate,chaudum,85
airbnb/lottie-android,airbnb/lottie-android,gpeal,84
eclipse/che,eclipse/che,Ohrimenko1988,84
TechEmpower/FrameworkBenchmarks,TechEmpower/FrameworkBenchmarks,nbrady-techempower,84
openhab/openhab1-addons,openhab/openhab1-addons,9037568,83
neo4j/neo4j,neo4j/neo4j,fickludd,83
lingochamp/FileDownloader,lingochamp/FileDownloader,rantianhua,83
apache/beam,apache/beam,pabloem,82
SeleniumHQ/selenium,SeleniumHQ/selenium,barancev,82
oracle/opengrok,oracle/opengrok,vladak,82
elastic/elasticsearch,elastic/elasticsearch,bleskes,82
apache/kafka,apache/kafka,ewencp,82
crate/crate,crate/crate,codecov-io,81
apache/flink,apache/flink,StephanEwen,81
apache/kafka,apache/kafka,bbejeck,81
Blankj/AndroidUtilCode,Blankj/AndroidUtilCode,Blankj,80
reactor/reactor-core,reactor/reactor-core,simonbasle,79
