name,repo_name,login,contributions
reactor/reactor-core,reactor/reactor-core,yilinwei,5
antlr/antlr4,antlr/antlr4,chund,5
google/guava,google/guava,lowasser,5
jdsjlzx/LRecyclerView,jdsjlzx/LRecyclerView,MelvinCen,5
realm/realm-java,realm/realm-java,josephjreij,5
apache/incubator-skywalking,apache/incubator-skywalking,michaelsembwever,5
orientechnologies/orientdb,orientechnologies/orientdb,vigneshsenapathy,5
SeleniumHQ/selenium,SeleniumHQ/selenium,joejoseph00,5
apache/tomcat,apache/tomcat,markt-asf,5
perwendel/spark,perwendel/spark,chrisgreve,5
react-native-community/react-native-svg,react-native-community/react-native-svg,EskelCz,5
Jasonchenlijian/FastBle,Jasonchenlijian/FastBle,yishangfei,5
react-native-community/react-native-camera,react-native-community/react-native-camera,daFelix,5
moezbhatti/qksms,moezbhatti/qksms,vossenjp,5
gongwen/MarqueeViewLibrary,gongwen/MarqueeViewLibrary,gongwen,5
fanrunqi/MaterialLogin,fanrunqi/MaterialLogin,fanrunqi,5
arduino/Arduino,arduino/Arduino,rkost,5
deeplearning4j/deeplearning4j,deeplearning4j/deeplearning4j,crockpotveggies,5
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,rashad-farajullayev,5
objectbox/objectbox-java,objectbox/objectbox-java,Yazon2006,5
apache/kafka,apache/kafka,sebastiansemmle,5
wix/react-native-navigation,wix/react-native-navigation,James2516,5
google/ExoPlayer,google/ExoPlayer,Sara-Tareq,5
naver/pinpoint,naver/pinpoint,jsxiaoshunzi,5
xetorthio/jedis,xetorthio/jedis,allanwax,5
zwwill/yanxuan-weex-demo,zwwill/yanxuan-weex-demo,cheesekun,5
eclipse/che,eclipse/che,ShivaniBali,5
googlesamples/google-services,googlesamples/google-services,samtstern,5
netty/netty,netty/netty,trondarild-lode-tobiassen-heidelberg,5
ReactiveX/RxJava,ReactiveX/RxJava,SMontiel,5
xetorthio/jedis,xetorthio/jedis,maheshdatt,5
apache/beam,apache/beam,rtshadow,5
wix/react-native-navigation,wix/react-native-navigation,Cool04ek,5
eugenp/tutorials,eugenp/tutorials,iagotomas,5
CarGuo/GSYVideoPlayer,CarGuo/GSYVideoPlayer,csh159,5
javaparser/javaparser,javaparser/javaparser,johnsonlee,5
apache/zeppelin,apache/zeppelin,hayssams,5
brettwooldridge/HikariCP,brettwooldridge/HikariCP,johnou,5
reactor/reactor-core,reactor/reactor-core,akarnokd,5
ittianyu/BottomNavigationViewEx,ittianyu/BottomNavigationViewEx,WenzhuoHao,5
material-components/material-components-android,material-components/material-components-android,SUPERCILEX,5
cryptomator/cryptomator,cryptomator/cryptomator,Vesnyx,5
jOOQ/jOOQ,jOOQ/jOOQ,pvorb,5
CymChad/BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,AravinthSri,5
zaproxy/zaproxy,zaproxy/zaproxy,thiscantbetaken,5
eugenp/tutorials,eugenp/tutorials,tarangbhalodia,5
Screetsec/TheFatRat,Screetsec/TheFatRat,wtf123000,5
square/okhttp,square/okhttp,cketti,5
thingsboard/thingsboard,thingsboard/thingsboard,jktu2870,5
keycloak/keycloak,keycloak/keycloak,mhajas,5
dbeaver/dbeaver,dbeaver/dbeaver,tranbaohuu,5
apache/storm,apache/storm,hmcl,5
elastic/elasticsearch,elastic/elasticsearch,tdoman,5
eugenp/tutorials,eugenp/tutorials,daoire,5
libgdx/libgdx,libgdx/libgdx,Darkyenus,5
apache/kafka,apache/kafka,dminkovsky,5
antlr/antlr4,antlr/antlr4,kasbah,5
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,tgp1994,5
wix/react-native-navigation,wix/react-native-navigation,mkuczera,5
siacs/Conversations,siacs/Conversations,harshitbansal05,5
java-native-access/jna,java-native-access/jna,lwahonen,5
amirzaidi/Launcher3,amirzaidi/Launcher3,Denishaziri,5
spring-projects/spring-boot,spring-projects/spring-boot,johnou,5
rstudio/rstudio,rstudio/rstudio,ConorIA,5
LuckSiege/PictureSelector,LuckSiege/PictureSelector,goldze,5
tronprotocol/java-tron,tronprotocol/java-tron,danrcarter,4
bazelbuild/bazel,bazelbuild/bazel,spomorski,4
libgdx/libgdx,libgdx/libgdx,NathanSweet,4
apache/kafka,apache/kafka,GeorgeCGV,4
CymChad/BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,cai784921129,4
PhilJay/MPAndroidChart,PhilJay/MPAndroidChart,huntj88,4
elastic/elasticsearch,elastic/elasticsearch,SimonJonasGubler,4
apache/flink,apache/flink,fpompermaier,4
katzer/cordova-plugin-local-notifications,katzer/cordova-plugin-local-notifications,JoshuaPerk,4
bumptech/glide,bumptech/glide,liufsd,4
LWJGL/lwjgl3,LWJGL/lwjgl3,mikehooper,4
guardianproject/haven,guardianproject/haven,tytower,4
mikepenz/MaterialDrawer,mikepenz/MaterialDrawer,androideveloper,4
apereo/cas,apereo/cas,tduehr,4
FasterXML/jackson-databind,FasterXML/jackson-databind,isuribb,4
springfox/springfox,springfox/springfox,nobe0716,4
apache/hive,apache/hive,pyemon,4
alibaba/ARouter,alibaba/ARouter,zhi1ong,4
openzipkin/zipkin,openzipkin/zipkin,CyberDick,4
dropwizard/metrics,dropwizard/metrics,qualidafial,4
googlesamples/google-services,googlesamples/google-services,banerjeedeba,4
shwenzhang/AndResGuard,shwenzhang/AndResGuard,imknown,4
spring-projects/spring-boot,spring-projects/spring-boot,timomeinen,4
aritraroy/UltimateAndroidReference,aritraroy/UltimateAndroidReference,aritraroy,4
alibaba/canal,alibaba/canal,undeadwing,4
twosigma/beakerx,twosigma/beakerx,beaumoaj,4
dbeaver/dbeaver,dbeaver/dbeaver,amivanovano,4
google/physical-web,google/physical-web,ferencbrachmann,4
jfoenixadmin/JFoenix,jfoenixadmin/JFoenix,stormtroop,4
spring-projects/spring-boot,spring-projects/spring-boot,GurinderSinghBrar,4
Netflix/zuul,Netflix/zuul,spencergibb,4
bazelbuild/bazel,bazelbuild/bazel,gunan,4
spring-projects/spring-boot,spring-projects/spring-boot,GreyTeardrop,4
libgdx/libgdx,libgdx/libgdx,whitecostume,4
crate/crate,crate/crate,nicetip,4
zwwill/yanxuan-weex-demo,zwwill/yanxuan-weex-demo,sumincy,4
pili-engineering/PLDroidPlayer,pili-engineering/PLDroidPlayer,Huskyyy,4
cSploit/android,cSploit/android,pahapoika,4
eugenp/tutorials,eugenp/tutorials,nguyennamthai,4
netty/netty,netty/netty,ztkmkoo,4
YoKeyword/Fragmentation,YoKeyword/Fragmentation,luteng123,4
bumptech/glide,bumptech/glide,nielsdelporte,4
apache/ignite,apache/ignite,agoncharuk,4
lipangit/JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,linfeizheng,4
bazelbuild/bazel,bazelbuild/bazel,dbabkin,4
SeleniumHQ/selenium,SeleniumHQ/selenium,thiscantbetaken,4
tronprotocol/java-tron,tronprotocol/java-tron,farukonder,4
bytedeco/javacv,bytedeco/javacv,Felix199404,4
elastic/elasticsearch,elastic/elasticsearch,Sanne,4
hazelcast/hazelcast,hazelcast/hazelcast,mustafaiman,4
brettwooldridge/HikariCP,brettwooldridge/HikariCP,codecov[bot],4
CarGuo/GSYVideoPlayer,CarGuo/GSYVideoPlayer,a1018875550,4
elastic/elasticsearch,elastic/elasticsearch,russcam,4
eugenp/tutorials,eugenp/tutorials,DamCx,4
crazycodeboy/react-native-splash-screen,crazycodeboy/react-native-splash-screen,showtan,4
spring-projects/spring-boot,spring-projects/spring-boot,jnizet,4
google/wycheproof,google/wycheproof,thaidn,4
codecentric/spring-boot-admin,codecentric/spring-boot-admin,ismarslomic,4
apache/beam,apache/beam,arostamianfar,4
hazelcast/hazelcast,hazelcast/hazelcast,jbee,4
pili-engineering/PLDroidPlayer,pili-engineering/PLDroidPlayer,weihuihuang,4
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,CDAGaming,4
arduino/Arduino,arduino/Arduino,webstone13,4
languagetool-org/languagetool,languagetool-org/languagetool,thelittlefireman,4
LWJGL/lwjgl3,LWJGL/lwjgl3,dustContributor,4
ximsfei/Android-skin-support,ximsfei/Android-skin-support,weimingjue,4
apache/zeppelin,apache/zeppelin,Leemoonsoo,4
rstudio/rstudio,rstudio/rstudio,nalimilan,4
wix/react-native-navigation,wix/react-native-navigation,fabryx92,4
react-native-community/react-native-camera,react-native-community/react-native-camera,mcanobbio,4
wix/react-native-navigation,wix/react-native-navigation,karlmosenbacher,4
wix/react-native-navigation,wix/react-native-navigation,yershalom,4
rstudio/rstudio,rstudio/rstudio,hadley,4
grpc/grpc-java,grpc/grpc-java,thekalinga,4
eugenp/tutorials,eugenp/tutorials,thombergs,4
katzer/cordova-plugin-local-notifications,katzer/cordova-plugin-local-notifications,curlybracketsSARL,4
apache/kafka,apache/kafka,apurvam,4
apache/beam,apache/beam,cushon,4
square/picasso,square/picasso,ojw28,4
seven332/EhViewer,seven332/EhViewer,pehtshi,4
react-native-community/react-native-camera,react-native-community/react-native-camera,s349856186,4
apache/incubator-skywalking,apache/incubator-skywalking,WillemJiang,4
androidannotations/androidannotations,androidannotations/androidannotations,MarcosJava,4
confluentinc/ksql,confluentinc/ksql,matsumana,4
apereo/cas,apereo/cas,jkacer,4
iSoron/uhabits,iSoron/uhabits,iSoron,4
elastic/elasticsearch,elastic/elasticsearch,Mpdreamz,4
Activiti/Activiti,Activiti/Activiti,codecov[bot],4
Jasonchenlijian/FastBle,Jasonchenlijian/FastBle,shuijianbaozi,4
tronprotocol/java-tron,tronprotocol/java-tron,jdehgh1,4
jfoenixadmin/JFoenix,jfoenixadmin/JFoenix,Dooardarshan,4
pmd/pmd,pmd/pmd,henrik242,4
realm/realm-java,realm/realm-java,SiarheiSm,4
H07000223/FlycoTabLayout,H07000223/FlycoTabLayout,FlyInTheSkyToMe,4
react-native-community/react-native-svg,react-native-community/react-native-svg,mnicolls,4
square/okhttp,square/okhttp,Genleon,4
resilience4j/resilience4j,resilience4j/resilience4j,pwlan,4
hibernate/hibernate-orm,hibernate/hibernate-orm,Sanne,4
pengjianbo/GalleryFinal,pengjianbo/GalleryFinal,FizzClown,4
ChrisRM/material-theme-jetbrains,ChrisRM/material-theme-jetbrains,dudong0726,4
pmd/pmd,pmd/pmd,up2go-rsoesemann,4
swagger-api/swagger-core,swagger-api/swagger-core,viachm,4
scwang90/SmartRefreshLayout,scwang90/SmartRefreshLayout,KobeBryant824,4
arduino/Arduino,arduino/Arduino,ElectricRCAircraftGuy,4
ReactiveX/RxJava,ReactiveX/RxJava,ravikancherla,4
gocd/gocd,gocd/gocd,amlozano,4
react-native-community/react-native-video,react-native-community/react-native-video,djw27,4
ximsfei/Android-skin-support,ximsfei/Android-skin-support,win-xp,4
elastic/elasticsearch,elastic/elasticsearch,nikoncode,4
springfox/springfox,springfox/springfox,drenda,4
bluelinelabs/Conductor,bluelinelabs/Conductor,esafirm,4
apache/beam,apache/beam,angoenka,4
google/closure-compiler,google/closure-compiler,googlebot,4
eugenp/tutorials,eugenp/tutorials,kornelihno,4
iSoron/uhabits,iSoron/uhabits,vyu1,4
skylot/jadx,skylot/jadx,BatedUrGonnaDie,4
cryptomator/cryptomator,cryptomator/cryptomator,bullet64,4
apache/ignite,apache/ignite,vladisav,4
react-native-community/react-native-camera,react-native-community/react-native-camera,sunweiyang,4
CalebFenton/simplify,CalebFenton/simplify,mohe2015,4
tronprotocol/java-tron,tronprotocol/java-tron,nguyentruongtho,4
elastic/elasticsearch,elastic/elasticsearch,elwerene,4
google/guice,google/guice,GaspardPO,4
google/guava,google/guava,Maaartinus,4
orientechnologies/orientdb,orientechnologies/orientdb,vaishnaviprasad,4
pmd/pmd,pmd/pmd,tweimer,4
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,freMea,4
square/sqlbrite,square/sqlbrite,shaishavgandhi05,4
lipangit/JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,StevenNick88,4
pockethub/PocketHub,pockethub/PocketHub,veyndan,4
bazelbuild/bazel,bazelbuild/bazel,alexanderlobov,4
redisson/redisson,redisson/redisson,konglz,4
apache/rocketmq,apache/rocketmq,Jason918,4
alibaba/druid,alibaba/druid,jun1st,4
square/retrofit,square/retrofit,shafayatb,4
eclipse/che,eclipse/che,levjason,4
spring-projects/spring-boot,spring-projects/spring-boot,dusica23,4
google/guava,google/guava,ben-manes,4
auth0/java-jwt,auth0/java-jwt,ThStock,4
apache/beam,apache/beam,igorbernstein2,4
react-native-community/react-native-camera,react-native-community/react-native-camera,sasha-stojanovic,4
lipangit/JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,LinkOut,4
apache/kafka,apache/kafka,leonhong,4
jMonkeyEngine/jmonkeyengine,jMonkeyEngine/jmonkeyengine,Ali-RS,4
ChrisRM/material-theme-jetbrains,ChrisRM/material-theme-jetbrains,stevensacks,4
tronprotocol/java-tron,tronprotocol/java-tron,airwave-development,4
apache/rocketmq,apache/rocketmq,adventurer2008,4
vespa-engine/vespa,vespa-engine/vespa,sunmeng007,4
NanoHttpd/nanohttpd,NanoHttpd/nanohttpd,pathikdevani,4
react-native-community/react-native-camera,react-native-community/react-native-camera,ryd0rz,4
NLPchina/elasticsearch-sql,NLPchina/elasticsearch-sql,yangjiajun2014,4
CymChad/BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,theonlylies,4
luojilab/DDComponentForAndroid,luojilab/DDComponentForAndroid,keep2iron,4
azkaban/azkaban,azkaban/azkaban,yangxu1362850636,4
ctripcorp/apollo,ctripcorp/apollo,13127898836,4
CymChad/BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,MariShunxiang,4
hankcs/HanLP,hankcs/HanLP,freedomqp,4
redisson/redisson,redisson/redisson,shashibsingh,4
testcontainers/testcontainers-java,testcontainers/testcontainers-java,alexcase52,4
airbnb/epoxy,airbnb/epoxy,sauyee333,4
spring-projects/spring-boot,spring-projects/spring-boot,andrey916,4
apache/storm,apache/storm,liuxianjiao,4
gotev/android-upload-service,gotev/android-upload-service,Faiyyaz,4
prestodb/presto,prestodb/presto,facebook-github-bot,4
JakeWharton/ActionBarSherlock,JakeWharton/ActionBarSherlock,mzatanakor,4
wix/react-native-navigation,wix/react-native-navigation,dre4success,4
NLPchina/elasticsearch-sql,NLPchina/elasticsearch-sql,CharanSahaj,4
elastic/elasticsearch,elastic/elasticsearch,SRITANU,4
apache/flink,apache/flink,ifndef-SleePy,4
liaohuqiu/android-Ultra-Pull-To-Refresh,liaohuqiu/android-Ultra-Pull-To-Refresh,zhangman523,4
zaproxy/zaproxy,zaproxy/zaproxy,varshav21,4
CymChad/BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,WuGang128,4
apache/incubator-skywalking,apache/incubator-skywalking,johnament,4
eclipse/che,eclipse/che,RobertBrown3,4
bazelbuild/bazel,bazelbuild/bazel,hmemcpy,4
mikepenz/FastAdapter,mikepenz/FastAdapter,DJafari,4
openzipkin/zipkin,openzipkin/zipkin,pickmonster,4
dbeaver/dbeaver,dbeaver/dbeaver,GiantCrocodile,4
spring-projects/spring-boot,spring-projects/spring-boot,panchenko,4
eugenp/tutorials,eugenp/tutorials,earth001,4
floragunncom/search-guard,floragunncom/search-guard,dkasselmann,4
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,ProfessorProspector,4
clojure/clojure,clojure/clojure,ghosthamlet,4
mockito/mockito,mockito/mockito,thalissondev,4
wix/react-native-navigation,wix/react-native-navigation,enahum,4
b3log/solo,b3log/solo,Vanessa219,4
signalapp/Signal-Android,signalapp/Signal-Android,nribeka,4
LWJGL/lwjgl3,LWJGL/lwjgl3,intrigus,4
daimajia/AndroidSwipeLayout,daimajia/AndroidSwipeLayout,aik117,4
Jasonchenlijian/FastBle,Jasonchenlijian/FastBle,qht1003077897,4
flyway/flyway,flyway/flyway,CLAassistant,4
Freeyourgadget/Gadgetbridge,Freeyourgadget/Gadgetbridge,ejiek,4
apache/flink,apache/flink,alpinegizmo,4
eugenp/tutorials,eugenp/tutorials,harshilsharma63,4
confluentinc/ksql,confluentinc/ksql,norwood,4
orientechnologies/orientdb,orientechnologies/orientdb,yishchuk,4
bluelinelabs/Conductor,bluelinelabs/Conductor,jshvarts,4
forezp/SpringCloudLearning,forezp/SpringCloudLearning,baizhantang,4
SeleniumHQ/selenium,SeleniumHQ/selenium,twalpole,4
ReactiveX/RxJava,ReactiveX/RxJava,vanniktech,4
apache/zookeeper,apache/zookeeper,revans2,4
neo4j/neo4j,neo4j/neo4j,mariascharin,4
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,canitzp,4
aws/aws-sdk-java,aws/aws-sdk-java,oscarlvp,4
apache/flink,apache/flink,satybald,4
resilience4j/resilience4j,resilience4j/resilience4j,akarnokd,4
bazelbuild/bazel,bazelbuild/bazel,jayconrod,4
amirzaidi/Launcher3,amirzaidi/Launcher3,NathanFrederick,4
wix/react-native-navigation,wix/react-native-navigation,LeoNatan,4
bazelbuild/bazel,bazelbuild/bazel,balazsbanyai,4
pmd/pmd,pmd/pmd,albfernandez,4
google/ExoPlayer,google/ExoPlayer,piatt,4
wix/react-native-navigation,wix/react-native-navigation,tmaly1980,4
libgdx/libgdx,libgdx/libgdx,kalexmills,4
react-native-community/react-native-camera,react-native-community/react-native-camera,AlexandreMaistret,4
redisson/redisson,redisson/redisson,prosonf,4
wix/react-native-navigation,wix/react-native-navigation,flaviotobi,4
eugenp/tutorials,eugenp/tutorials,sasdroid,4
tomakehurst/wiremock,tomakehurst/wiremock,alb-i986,4
gocd/gocd,gocd/gocd,dreamlover,4
daniulive/SmarterStreaming,daniulive/SmarterStreaming,daniulive,4
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,mcenderdragon,4
Tencent/VasSonic,Tencent/VasSonic,qianzhihe86,4
bazelbuild/bazel,bazelbuild/bazel,PatrickLang,4
bigbluebutton/bigbluebutton,bigbluebutton/bigbluebutton,danionescu2007,4
android10/Android-CleanArchitecture,android10/Android-CleanArchitecture,Hinaka,4
JesusFreke/smali,JesusFreke/smali,frap129,4
eugenp/tutorials,eugenp/tutorials,midnightdigitalwork,4
OpenRefine/OpenRefine,OpenRefine/OpenRefine,olleolleolle,4
bazelbuild/bazel,bazelbuild/bazel,akira-baruah,4
lingochamp/okdownload,lingochamp/okdownload,Jacksgong,4
grpc/grpc-java,grpc/grpc-java,njhill,4
square/javapoet,square/javapoet,tbroyer,4
yhaolpz/FloatWindow,yhaolpz/FloatWindow,yale8848,4
mikepenz/FastAdapter,mikepenz/FastAdapter,Dahnark,4
pmd/pmd,pmd/pmd,d1ss0nanz,4
alibaba/canal,alibaba/canal,jasonhx140,4
realm/realm-java,realm/realm-java,gelbertgel,4
apache/flink,apache/flink,tony810430,4
rstudio/rstudio,rstudio/rstudio,JoFAM,4
square/retrofit,square/retrofit,PromanSEW,4
antlr/antlr4,antlr/antlr4,xgcssch,4
redisson/redisson,redisson/redisson,daniel9x,4
MinecraftForge/MinecraftForge,MinecraftForge/MinecraftForge,donington,4
mikepenz/MaterialDrawer,mikepenz/MaterialDrawer,afarber,4
deeplearning4j/deeplearning4j,deeplearning4j/deeplearning4j,wanjizheng,4
apache/flink,apache/flink,sebastiansemmle,4
arduino/Arduino,arduino/Arduino,newpie18,4
javaee-samples/javaee7-samples,javaee-samples/javaee7-samples,jkopriva,4
eclipse/jetty.project,eclipse/jetty.project,dreis2211,4
bluelinelabs/Conductor,bluelinelabs/Conductor,Zhuinden,4
flyway/flyway,flyway/flyway,zinefer,4
wix/react-native-navigation,wix/react-native-navigation,eliperkins,4
rstudio/rstudio,rstudio/rstudio,ccatano,4
googlesamples/easypermissions,googlesamples/easypermissions,lby1992,4
openhab/openhab1-addons,openhab/openhab1-addons,muenning,4
eugenp/tutorials,eugenp/tutorials,chrisoberle,4
apache/cordova-android,apache/cordova-android,wf9a5m75,4
apache/kafka,apache/kafka,farmdawgnation,4
apache/zeppelin,apache/zeppelin,tinkoff-dwh,4
willowtreeapps/spruce-android,willowtreeapps/spruce-android,bret-fears,4
SeleniumHQ/selenium,SeleniumHQ/selenium,pumba-lt,4
owncloud/android,owncloud/android,kerlerm,4
oracle/graal,oracle/graal,dsamersoff,4
spotify/helios,spotify/helios,codecov-io,4
zaproxy/zaproxy,zaproxy/zaproxy,breakthesec,4
rstudio/rstudio,rstudio/rstudio,psychelzh,4
alibaba/canal,alibaba/canal,CLAassistant,4
lingochamp/FileDownloader,lingochamp/FileDownloader,iammasir,4
guardianproject/haven,guardianproject/haven,petertodd,4
wix/react-native-navigation,wix/react-native-navigation,tevatahiti,4
alibaba/druid,alibaba/druid,handsomeshengchen,4
crate/crate,crate/crate,turbo-ele,4
zo0r/react-native-push-notification,zo0r/react-native-push-notification,awchang56,4
bluelinelabs/Conductor,bluelinelabs/Conductor,gstepniewski,4
gocd/gocd,gocd/gocd,ashwanthkumar,4
apache/hive,apache/hive,maheshk114,4
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,ale5000-git,4
TeamNewPipe/NewPipe,TeamNewPipe/NewPipe,M2ck,4
realm/realm-java,realm/realm-java,Bekakk,4
SeleniumHQ/selenium,SeleniumHQ/selenium,sahil1610,4
wuhaoyu1990/MagicCamera,wuhaoyu1990/MagicCamera,sendtion,4
wix/react-native-navigation,wix/react-native-navigation,ODelibalta,4
JZ-Darkal/AndroidHttpCapture,JZ-Darkal/AndroidHttpCapture,darkal,4
CalebFenton/simplify,CalebFenton/simplify,coveralls,4
pmd/pmd,pmd/pmd,TWiStErRob,4
react-native-community/react-native-camera,react-native-community/react-native-camera,punksta,4
TheAlgorithms/Java,TheAlgorithms/Java,debck,4
elastic/elasticsearch,elastic/elasticsearch,llilyy,4
jMonkeyEngine/jmonkeyengine,jMonkeyEngine/jmonkeyengine,shamanDevel,4
react-native-community/react-native-svg,react-native-community/react-native-svg,dustinsavery,4
apache/lucene-solr,apache/lucene-solr,abhidemon,4
katzer/cordova-plugin-local-notifications,katzer/cordova-plugin-local-notifications,shi11,4
javaee-samples/javaee7-samples,javaee-samples/javaee7-samples,arjantijms,4
bumptech/glide,bumptech/glide,mdczaplicki,4
jamesdbloom/mockserver,jamesdbloom/mockserver,ignaciotcrespo,4
bumptech/glide,bumptech/glide,felislynx-silae,4
wix/react-native-navigation,wix/react-native-navigation,gran33,4
apache/kafka,apache/kafka,manjuapu,4
react-native-community/react-native-camera,react-native-community/react-native-camera,samuela,4
eugenp/tutorials,eugenp/tutorials,mkcse41,4
iSoron/uhabits,iSoron/uhabits,deutrino,4
flavioarfaria/KenBurnsView,flavioarfaria/KenBurnsView,burningthumb,4
bumptech/glide,bumptech/glide,MFlisar,4
flyway/flyway,flyway/flyway,lgoldstein,4
signalapp/Signal-Android,signalapp/Signal-Android,higgsch,4
YoKeyword/Fragmentation,YoKeyword/Fragmentation,liulilei,4
SonarSource/sonarqube,SonarSource/sonarqube,dbmeneses,4
rest-assured/rest-assured,rest-assured/rest-assured,keetron,4
xetorthio/jedis,xetorthio/jedis,chrisribble,4
XRecyclerView/XRecyclerView,XRecyclerView/XRecyclerView,linqssonny,4
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,lly5044,4
bumptech/glide,bumptech/glide,tysheng,4
apache/zookeeper,apache/zookeeper,maoling,4
jamesdbloom/mockserver,jamesdbloom/mockserver,dimirtyg,4
mikepenz/FastAdapter,mikepenz/FastAdapter,DummyCo,4
razerdp/BasePopup,razerdp/BasePopup,XZWQuickness,4
OpenRefine/OpenRefine,OpenRefine/OpenRefine,magdmartin,4
spring-projects/spring-boot,spring-projects/spring-boot,vdubus,4
spring-projects/spring-boot,spring-projects/spring-boot,ajaysrrinivas,4
testcontainers/testcontainers-java,testcontainers/testcontainers-java,javathought,4
facebook/facebook-android-sdk,facebook/facebook-android-sdk,abeatte,4
dbeaver/dbeaver,dbeaver/dbeaver,andywicht,4
bazelbuild/bazel,bazelbuild/bazel,hsyed,4
Polidea/RxAndroidBle,Polidea/RxAndroidBle,ejbp,4
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,doernbrackandre,4
Meituan-Dianping/Robust,Meituan-Dianping/Robust,hedex,4
openhab/openhab1-addons,openhab/openhab1-addons,darkcheater,4
koral--/android-gif-drawable,koral--/android-gif-drawable,Guang1234567,4
bigbluebutton/bigbluebutton,bigbluebutton/bigbluebutton,lfzawacki,4
dbeaver/dbeaver,dbeaver/dbeaver,66303,4
mikepenz/AboutLibraries,mikepenz/AboutLibraries,renner-foc,4
spring-cloud/spring-cloud-netflix,spring-cloud/spring-cloud-netflix,makdeniss,4
graphql-java/graphql-java,graphql-java/graphql-java,nickbabcock,4
alibaba/fastjson,alibaba/fastjson,sweet2o09,4
thingsboard/thingsboard,thingsboard/thingsboard,Terny22,4
neo4j/neo4j,neo4j/neo4j,jyotsna792,4
auth0/java-jwt,auth0/java-jwt,hgastaud,4
grpc/grpc-java,grpc/grpc-java,drigz,4
openhab/openhab1-addons,openhab/openhab1-addons,ssalonen,4
termux/termux-app,termux/termux-app,tondy67,4
apache/incubator-skywalking,apache/incubator-skywalking,clevertension,4
facebook/fresco,facebook/fresco,asadullahrao,4
nostra13/Android-Universal-Image-Loader,nostra13/Android-Universal-Image-Loader,PoetKing,4
rzwitserloot/lombok,rzwitserloot/lombok,krzyk,4
PipelineAI/pipeline,PipelineAI/pipeline,cfregly,4
junit-team/junit5,junit-team/junit5,lutovich,4
eugenp/tutorials,eugenp/tutorials,gorkagal1983,4
dbeaver/dbeaver,dbeaver/dbeaver,svrana,4
objectbox/objectbox-java,objectbox/objectbox-java,vadimh77,4
spring-projects/spring-petclinic,spring-projects/spring-petclinic,baumannalexj,4
bytedeco/javacv,bytedeco/javacv,blackredscarf,4
apache/hadoop,apache/hadoop,steveloughran,4
bazelbuild/bazel,bazelbuild/bazel,mboes,4
elastic/elasticsearch,elastic/elasticsearch,albertzaharovits,4
JanusGraph/janusgraph,JanusGraph/janusgraph,janusgraph-bot,4
wix/react-native-navigation,wix/react-native-navigation,iCodePup,4
JakeWharton/timber,JakeWharton/timber,JakeWharton,4
CarGuo/GSYVideoPlayer,CarGuo/GSYVideoPlayer,huangjingqiang,4
immutables/immutables,immutables/immutables,Stephan202,4
zaproxy/zaproxy,zaproxy/zaproxy,VadimGulich,4
yhaolpz/FloatWindow,yhaolpz/FloatWindow,tangqiao42,4
katzer/cordova-plugin-local-notifications,katzer/cordova-plugin-local-notifications,Agimovel,4
CarGuo/GSYVideoPlayer,CarGuo/GSYVideoPlayer,bigzhulove,4
apereo/cas,apereo/cas,johnlister,4
springfox/springfox,springfox/springfox,gnanayakkara,4
react-native-community/react-native-camera,react-native-community/react-native-camera,evansherry,4
mybatis/mybatis-3,mybatis/mybatis-3,hazendaz,4
vert-x3/vertx-examples,vert-x3/vertx-examples,EmadAlblueshi,4
siacs/Conversations,siacs/Conversations,kollix,4
react-native-community/react-native-camera,react-native-community/react-native-camera,kesha-antonov,4
grpc/grpc-java,grpc/grpc-java,lorensewusu,4
alibaba/vlayout,alibaba/vlayout,zsndev,4
scwang90/SmartRefreshLayout,scwang90/SmartRefreshLayout,luckyandyzhang,4
Freeyourgadget/Gadgetbridge,Freeyourgadget/Gadgetbridge,Avamander,4
Blankj/AndroidUtilCode,Blankj/AndroidUtilCode,kamike,4
jenkinsci/jenkins,jenkinsci/jenkins,ManuelB,4
mikepenz/MaterialDrawer,mikepenz/MaterialDrawer,carlosmacmar,4
aws/aws-sdk-java,aws/aws-sdk-java,maczikasz,4
floragunncom/search-guard,floragunncom/search-guard,JulianFazri,4
Alluxio/alluxio,Alluxio/alluxio,smiklos,4
