Source,Target,Weight
ThirtyDegreesRay/OpenHub,squeezer11,4
elastic/elasticsearch,nrichers,4
ACRA/acra,koral--,4
spring-projects/spring-boot,meltsufin,4
razerdp/BasePopup,ParfoisMeng,4
uber/AutoDispose,0legg,4
pmd/pmd,capeterson,4
eugenp/tutorials,yatendragoel,4
junit-team/junit5,Lubetkin,4
googlesamples/google-services,isaisachen,4
pengjianbo/GalleryFinal,LanJD,4
google/guava,cgdecker,4
dianping/cat,qmwu2000,4
davideas/FlexibleAdapter,tcqq,4
deeplearning4j/deeplearning4j,pertl,4
apache/flink,joerg84,4
arduino/Arduino,avandalen,4
runelite/runelite,XrioBtw,4
Netflix/zuul,mmdemirbas,4
apache/kafka,nicktrav,4
wix/react-native-navigation,FlaviooLima,4
redisson/redisson,lying1234,4
NLPchina/ansj_seg,shi-yuan,4
davideas/FlexibleAdapter,quangson91,4
skylot/jadx,liach,4
square/okhttp,gdky005,4
facebook/fresco,zjupure,4
spring-cloud/spring-cloud-netflix,gberche-orange,4
CymChad/BaseRecyclerViewAdapterHelper,zhyihui,4
ctripcorp/apollo,tastypinenut,4
junit-team/junit5,mkobit,4
cryptomator/cryptomator,28Black,4
processing/processing,tolkanabroski,4
ReactiveX/RxJava,simonbasle,4
apache/beam,aviemzur,4
bumptech/glide,ooeoo,4
bazelbuild/bazel,barlevalon,4
javaparser/javaparser,sergerrr,4
bazelbuild/bazel,ivucica,4
realm/realm-java,dbskarl,4
apache/kafka,norwood,4
deeplearning4j/deeplearning4j,amoellmann,4
arduino/Arduino,SandeepanSengupta,4
grpc/grpc-java,lukaszx0,4
alibaba/vlayout,bean-liu,4
springfox/springfox,ptheohar,4
dbeaver/dbeaver,karlochev,4
bumptech/glide,searchy2,4
apereo/cas,tsschmidt,4
Tencent/tinker,blackberry2016,4
neo4j/neo4j,digitalstain,4
airbnb/native-navigation,benkraus,4
wix/react-native-navigation,danilobuerger,4
alibaba/jvm-sandbox,CLAassistant,4
wix/react-native-navigation,ugendrang,4
alibaba/jvm-sandbox,yb755,4
google/ExoPlayer,Soulkey7,4
lettuce-io/lettuce-core,destitutus,4
springfox/springfox,desprez,4
CarGuo/GSYVideoPlayer,wudilun,4
huangyanbin/smartTable,onexuan,4
auth0/java-jwt,zaajava,4
abel533/Mapper,wangzhihaolighter,4
xetorthio/jedis,joroda,4
apache/ignite,dmekhanikov,4
rstudio/rstudio,Thermi,4
JanusGraph/janusgraph,buzhidaowenwen,4
airbnb/lottie-android,andersu,4
spring-projects/spring-data-examples,olivergierke,4
apache/kafka,gunnarmorling,4
FasterXML/jackson-databind,deblockt,4
bazelbuild/bazel,vjpai,4
web3j/web3j,6epreu,4
TechEmpower/FrameworkBenchmarks,benaadams,4
elastic/elasticsearch,aeroastro,4
tronprotocol/java-tron,wailo,4
apache/beam,mdvorsky,4
arduino/Arduino,dphamminh,4
react-native-community/react-native-video,choychris,4
react-native-community/react-native-blur,Kureev,3
openhab/openhab1-addons,ThomDietrich,3
react-native-community/react-native-video,Donhv,3
OpenTSDB/opentsdb,vyshaliN,3
square/okhttp,yoavgray,3
mockito/mockito,da-na,3
CarGuo/GSYVideoPlayer,CleverSJX,3
eclipse/jetty.project,ramarro123,3
bigbluebutton/bigbluebutton,gutobenn,3
TechEmpower/FrameworkBenchmarks,plokhotnyuk,3
alibaba/druid,Cat7373,3
arduino/Arduino,barsznica,3
square/okhttp,DmitriyYakovlev,3
codecentric/spring-boot-admin,mrumpf,3
TooTallNate/Java-WebSocket,lavancfc,3
Bigkoo/Android-PickerView,w1570187062,3
lingochamp/okdownload,FollowMeWang,3
eugenp/tutorials,belalgalal,3
zjw-swun/AppMethodOrder,huang3eng,3
davideas/FlexibleAdapter,jrcacd,3
PhilJay/MPAndroidChart,yangdong,3
naver/pinpoint,ecamy,3
yadav-rahul/TastyToast,nullkk,3
xuxueli/xxl-job,ie7shop,3
PhilJay/MPAndroidChart,klaszlo8207,3
lipangit/JiaoZiVideoPlayer,CleverSJX,3
SeleniumHQ/selenium,martynovig,3
ACRA/acra,greenscreens-io,3
Activiti/Activiti,alirezamirian,3
grpc/grpc-java,bogdandrutu,3
realm/realm-java,PhilGlass,3
lipangit/JiaoZiVideoPlayer,wustor,3
h2oai/h2o-3,laurendiperna,3
ChrisRM/material-theme-jetbrains,Alanlxh,3
react-native-community/react-native-camera,archanasantoshwhatkar,3
react-native-community/react-native-svg,ctgardner,3
MinecraftForge/MinecraftForge,malte0811,3
youth5201314/banner,OathkeeperDL7,3
Blankj/AndroidUtilCode,conghuahuadan,3
facebook/buck,rmaz,3
dbeaver/dbeaver,jlgocella,3
bazelbuild/bazel,sanjoy,3
youth5201314/banner,ChangBaofeng,3
react-native-community/react-native-svg,594904020,3
HoraApps/LeafPic,CalvinNor,3
springfox/springfox,sebasira,3
googlesamples/google-services,pradhulstha,3
react-native-community/react-native-camera,emmajam,3
facebook/fresco,EMIN3M1986,3
realm/realm-java,gauris26,3
aws/aws-sdk-java,saurabhhv,3
confluentinc/ksql,tomlinsonr,3
springfox/springfox,Hronom,3
FasterXML/jackson-databind,jschaf,3
openhab/openhab1-addons,cweitkamp,3
facebook/buck,jkeljo,3
prontera/spring-cloud-rest-tcc,gino2010,3
Tencent/VasSonic,felixxfwang,3
thingsboard/thingsboard,konglinghai123,3
jamesdbloom/mockserver,benhuangyong,3
spring-projects/spring-boot,qinnnyul,3
sparklemotion/nokogiri,franklinyu,3
Alluxio/alluxio,Mitisky,3
vert-x3/vertx-examples,recena,3
hazelcast/hazelcast,ihsandemir,3
TommyLemon/APIJSON,TommyLemon,3
Freeyourgadget/Gadgetbridge,ildar,3
eugenp/tutorials,rjaladurgam,3
evrencoskun/TableView,spd-heshuip,3
Netflix/Hystrix,M0053,3
openhab/openhab1-addons,donald1985,3
spring-cloud/spring-cloud-netflix,pp010,3
apache/beam,Exprosed,3
elastic/elasticsearch,reggieb,3
square/moshi,Phoca,3
amirzaidi/Launcher3,bushman1,3
alamkanak/Android-Week-View,ccparram,3
evrencoskun/TableView,gmcodebuster,3
firebase/quickstart-android,dpebot,3
rzwitserloot/lombok,dpalic,3
arduino/Arduino,Rotzbua,3
cglib/cglib,raphw,3
square/okhttp,erikpoort,3
jdsjlzx/LRecyclerView,liusuper2017,3
mrniko/netty-socketio,wirechen,3
redisson/redisson,welovelain,3
signalapp/Signal-Android,p4nci,3
spring-projects/spring-boot,dusan-eremic,3
stormzhang/9GAG,vincentsun870530,3
google/guice,natros,3
pedant/sweet-alert-dialog,weiwenhuaming01,3
vavr-io/vavr,404-,3
scwang90/SmartRefreshLayout,huashengzzz,3
arduino/Arduino,sandeepmistry,3
Blankj/AndroidUtilCode,WanghongLin,3
Freeyourgadget/Gadgetbridge,yarons,3
TeamNewPipe/NewPipe,Jithendra-V-Kumar,3
thingsboard/thingsboard,mehranq,3
keycloak/keycloak,shimkiv,3
react-native-community/react-native-camera,fadeli1,3
mrniko/netty-socketio,sunilgulabani,3
rest-assured/rest-assured,BogdanJelerRO,3
google/ExoPlayer,ZohaibGhafoor,3
facebook/react-native-fbsdk,facebook-github-bot,3
huangyanbin/smartTable,xiemeng99,3
xetorthio/jedis,yapei123,3
DylanVann/react-native-fast-image,1c7,3
YoKeyword/Fragmentation,yanshihao3,3
LWJGL/lwjgl3,cwb123,3
rzwitserloot/lombok,schuettec,3
siacs/Conversations,d9h20f,3
oracle/graal,entlicher,3
bazelbuild/bazel,zlalanne,3
dbeaver/dbeaver,craigcarnell,3
apache/kafka,jasonaliyetti,3
react-native-community/react-native-camera,nrakochy,3
springfox/springfox,rplees,3
apache/rocketmq,vesense,3
springfox/springfox,goodlifeinc,3
Graylog2/graylog2-server,tachtler,3
realm/realm-java,jrcacd,3
alibaba/canal,zhmz1326,3
ReactiveX/RxJava,Auffahrend,3
keycloak/keycloak,knutz3n,3
googlesamples/google-services,lbarrettanderson,3
facebook/facebook-android-sdk,winedigger,3
H07000223/FlycoTabLayout,MelvinCen,3
spring-cloud/spring-cloud-netflix,YorkWong,3
react-native-community/react-native-video,selsamman,3
wix/react-native-navigation,jackmew,3
ReactiveX/RxJava,kagile,3
lzyzsd/JsBridge,hyy12345678,3
eugenp/tutorials,etuzlaci,3
firebase/quickstart-android,pro100svitlo,3
zaproxy/zaproxy,GregoryPerry706,3
chrisbanes/PhotoView,divysoni3,3
orientechnologies/orientdb,hosseinGanjyar,3
mrniko/netty-socketio,lilaizhencn,3
thingsboard/thingsboard,cc19931002,3
Alluxio/alluxio,bajohns,3
guardianproject/haven,nerds-R-bae,3
apache/beam,johnmac-ibm,3
alibaba/canal,freeme,3
DylanVann/react-native-fast-image,Unlighten,3
javaee-samples/javaee7-samples,lprimak,3
JakeWharton/DiskLruCache,ncruces,3
CarGuo/GSYVideoPlayer,y2653904,3
spring-projects/spring-data-examples,thomasdarimont,3
apache/ignite,sk0x50,3
realm/realm-java,algrid,3
CymChad/BaseRecyclerViewAdapterHelper,18300072348,3
rzwitserloot/lombok,lpandzic,3
PhilJay/MPAndroidChart,ankitgoyal1009,3
JakeWharton/butterknife,goldenbr0wn,3
bazelbuild/bazel,marup,3
dianping/cat,duguyixiaono1,3
apache/flink,StevenLangbroek,3
prestodb/presto,buremba,3
apache/kafka,bartdevylder,3
alibaba/canal,guorain321,3
elastic/elasticsearch,sihil,3
apache/flink,okumin,3
realm/realm-java,destman,3
zo0r/react-native-push-notification,SSTPIERRE2,3
google/j2objc,kpgalligan,3
abel533/Mapper,AngiWANG,3
MinecraftForge/MinecraftForge,Lordmau5,3
wix/react-native-navigation,DinDents,3
wix/react-native-navigation,perrosnk,3
elastic/elasticsearch,fvilpoix,3
square/okhttp,aahlenst,3
spring-projects/spring-boot,mp911de,3
google/ExoPlayer,rachitmishra,3
jOOQ/jOOQ,timur-sh,3
bytedeco/javacv,chxchen,3
languagetool-org/languagetool,MartinPC,3
google/guice,googlebot,3
realm/realm-java,mblcdr,3
Freeyourgadget/Gadgetbridge,kaefert,3
apache/flink,tweise,3
facebook/stetho,iBotasky,3
apache/kafka,tanvijaywant31,3
cSploit/android,squeezer11,3
deeplearning4j/deeplearning4j,pmalipio,3
apache/groovy,cavdhut,3
alibaba/druid,abc127890,3
evernote/android-job,deeps2HOG,3
apache/hadoop,aajisaka,3
spring-projects/spring-boot,joshiste,3
web3j/web3j,javahippie,3
square/retrofit,NightlyNexus,3
brettwooldridge/HikariCP,jnehlmeier,3
elastic/elasticsearch,adamhadani,3
FasterXML/jackson-databind,OneSourceCat,3
alibaba/jvm-sandbox,xinleigithub,3
apereo/cas,DavidRG13,3
MinecraftForge/MinecraftForge,boq,3
spring-cloud/spring-cloud-netflix,jcarvalho,3
FasterXML/jackson-databind,mattsheppard,3
jenkinsci/jenkins,stephenc,3
NLPchina/ansj_seg,ansjsun,3
springfox/springfox,gitforpushpak,3
signalapp/Signal-Android,nicholasfoden,3
JakeWharton/butterknife,runningcode,3
GrenderG/Toasty,chenfd99,3
floragunncom/search-guard,jochenkressin,3
cjlin1/libsvm,cjlin1,3
bazelbuild/bazel,f9rocket,3
Graylog2/graylog2-server,lennartkoopmann,3
elastic/elasticsearch,antonpious,3
MyCATApache/Mycat-Server,yanjunli,3
neo4j/neo4j,InverseFalcon,3
zxing/zxing,ligi,3
react-native-community/react-native-camera,haofeng123,3
openhab/openhab1-addons,mhilbush,3
floragunncom/search-guard,tbennett6421,3
rzwitserloot/lombok,michaeltecourt,3
prestodb/presto,amoghmargoor,3
trello/RxLifecycle,nekocode,3
robinhood/ticker,danh32,3
reactive-streams/reactive-streams-jvm,akarnokd,3
thingsboard/thingsboard,srimathselva,3
wix/react-native-navigation,birkir,3
Tencent/tinker,PrototypeZ,3
keycloak/keycloak,mstruk,3
gocd/gocd,tomzo,3
elastic/elasticsearch,mveitas,3
processing/processing,christianbender,3
bazelbuild/bazel,paladox,3
TakuSemba/Spotlight,maherhanafi,3
google/grafika,CreaRo,3
elastic/elasticsearch,epixa,3
chennaione/sugar,masoomyf,3
airbnb/epoxy,beantoan,3
Ashok-Varma/BottomNavigation,Ashok-Varma,3
apache/kafka,scholzj,3
eclipse/che,andrew-mclachlan,3
dbeaver/dbeaver,rumbin,3
spring-projects/spring-boot,artembilan,3
rzwitserloot/lombok,mithuns,3
TeamNewPipe/NewPipe,detached,3
zxing/zxing,CharlyNapf,3
spring-projects/spring-boot,mle-enso,3
FasterXML/jackson-databind,reda-alaoui,3
bumptech/glide,Mathbl,3
alibaba/vlayout,lixi0912,3
deeplearning4j/deeplearning4j,schrum2,3
junit-team/junit4,marcphilipp,3
alibaba/druid,zone1511,3
thingsboard/thingsboard,stormwrym,3
arduino/Arduino,hachi,3
deeplearning4j/deeplearning4j,Broele,3
YoKeyword/Fragmentation,bbiii,3
rest-assured/rest-assured,cheeseinlove,3
springfox/springfox,MartinNeumannBeTSE,3
gocd/gocd,rajiesh,3
raphw/byte-buddy,novaterata,3
lets-blade/blade,greenlaw110,3
Netflix/ribbon,tingliu9,3
google/closure-compiler,rauhs,3
netty/netty,thomdev,3
Konloch/bytecode-viewer,aleksandrkbl,3
react-native-community/react-native-svg,kylehagler,3
elastic/elasticsearch,asmita2201,3
cjlin1/libsvm,BramVanroy,3
junit-team/junit5,TimvdLippe,3
spring-projects/spring-boot,kdvolder,3
netty/netty,kashike,3
elastic/elasticsearch,frioux,3
aws/aws-sdk-java,millems,3
spockframework/spock,jack-kerouac,3
deeplearning4j/deeplearning4j,kibear,3
spring-cloud/spring-cloud-netflix,pivotal-issuemaster,3
prestodb/presto,jessesleeping,3
MyCATApache/Mycat-Server,github5588,3
floragunncom/search-guard,numbnut,3
crazycodeboy/react-native-splash-screen,RodolfoSilva,3
google/ExoPlayer,joelphilippage,3
spring-cloud/spring-cloud-netflix,ishanthilina,3
alibaba/canal,lcybo,3
redisson/redisson,huigesv123,3
guardianproject/haven,kushaldas,3
eugenp/tutorials,kosik,3
Microsoft/malmo,okkhoy,3
web3j/web3j,NickFitton,3
dropwizard/dropwizard,isaki-x,3
YoKeyword/Fragmentation,yiranLWS,3
deeplearning4j/deeplearning4j,mossaab0,3
azkaban/azkaban,dave-r12,3
react-native-community/react-native-svg,iqbalshirol,3
xetorthio/jedis,dvirsky,3
alibaba/fastjson,M-AJ,3
google/guava,panacekcz,3
hibernate/hibernate-orm,tomdearman,3
ChrisRM/material-theme-jetbrains,therealccarter,3
Tencent/tinker,hqzxzwb,3
junit-team/junit5,franklinyu,3
MinecraftForge/MinecraftForge,ArtixAllMighty,3
apereo/cas,alexdp,3
realm/realm-java,namhvcntt,3
react-native-community/react-native-camera,aspidvip,3
spring-projects/spring-framework,neonailol,3
wix/react-native-navigation,pentarex,3
TooTallNate/Java-WebSocket,mcourteaux,3
rzwitserloot/lombok,iherasymenko,3
thingsboard/thingsboard,hanyuwenn,3
bazelbuild/bazel,laurentlb,3
SeleniumHQ/selenium,hazardary,3
spring-cloud/spring-cloud-netflix,matt-shaw,3
spring-projects/spring-boot,juan-medina,3
ximsfei/Android-skin-support,zhangyingcheng,3
react-native-community/react-native-svg,lai32290,3
guardianproject/haven,Lucky225,3
elastic/elasticsearch,shirgall,3
confluentinc/ksql,apovzner,3
react-native-community/react-native-video,kvieira90,3
Freeyourgadget/Gadgetbridge,lawrnz,3
pmd/pmd,anand13s,3
grpc/grpc-java,Mailerm,3
hazelcast/hazelcast,devOpsHazelcast,3
runelite/runelite,tylerthardy,3
elastic/elasticsearch,geekpete,3
eugenp/tutorials,mikesockor,3
oracle/graal,graalvmbot,3
AltBeacon/android-beacon-library,breon,3
junit-team/junit4,zgq1987,3
facebook/litho,dbof10,3
mikepenz/FastAdapter,johnwatsondev,3
netty/netty,Bennett-Lynch,3
testcontainers/testcontainers-java,yurybubnov,3
realm/realm-java,paulpv,3
iBotPeaches/Apktool,ouihamdaoui,3
apache/beam,arkash,3
google/ExoPlayer,codeindream,3
emilsjolander/StickyListHeaders,zaaraameera2014,3
chennaione/sugar,Karuhanga,3
google/auto,tbroyer,3
JakeWharton/butterknife,TWiStErRob,3
dbeaver/dbeaver,tperrigo,3
SeleniumHQ/selenium,brnbs,3
objectbox/objectbox-java,stevesamknows,3
Justson/AgentWeb,wshx21,3
alibaba/fastjson,greenlaw110,3
alibaba/canal,zaccheus,3
TommyLemon/Android-ZBLibrary,TommyLemon,3
chennaione/sugar,HuiBest,3
elastic/elasticsearch,akadko,3
LMAX-Exchange/disruptor,staslev,3
bazelbuild/bazel,raliste,3
thingsboard/thingsboard,cchaz003,3
hazelcast/hazelcast,metanet,3
wix/react-native-navigation,gvillenave,3
zhihu/Matisse,junyuecao,3
realm/realm-java,fenggit,3
mybatis/mybatis-3,kazuki43zoo,3
moezbhatti/qksms,pikurasa,3
apache/hive,chandulal,3
zxing/zxing,rohanliston,3
hibernate/hibernate-orm,gsmet,3
dianping/cat,youyong205,3
alibaba/jvm-sandbox,chrischjh,3
bazelbuild/bazel,DavidBrayford,3
keycloak/keycloak,vmuzikar,3
react-native-community/react-native-camera,bluedaniel,3
sparklemotion/nokogiri,dstansby,3
JakeWharton/butterknife,edifangyi,3
rstudio/rstudio,kendonB,3
crate/crate,jukart,3
bumptech/glide,ChengKeven,3
openhab/openhab1-addons,cdjackson,3
netty/netty,sschepens,3
DrKLO/Telegram,recoilme,3
LitePalFramework/LitePal,topCard,3
dbeaver/dbeaver,tkitynski,3
oracle/graal,tianxiaogu,3
TechEmpower/FrameworkBenchmarks,Drawaes,3
antlr/antlr4,derknorton,3
web3j/web3j,justinchan1991,3
apache/zeppelin,RoxanaTapia,3
bm-x/PhotoView,Danielandroid,3
Freeyourgadget/Gadgetbridge,clemens68,3
apache/beam,mottyg1,3
arduino/Arduino,krgoodwin,3
spring-projects/spring-boot,markt-asf,3
cSploit/android,alphaomicron,3
redisson/redisson,rongmin,3
zaproxy/zaproxy,AndyStatic,3
jhy/jsoup,cketti,3
Netflix/zuul,SpamapS,3
MinecraftForge/MinecraftForge,pWn3d1337,3
FasterXML/jackson-databind,vjkoskela,3
google/ExoPlayer,saschpe,3
apache/kafka,satishd,3
MindorksOpenSource/android-mvp-architecture,amitshekhariitbhu,3
arduino/Arduino,Mumfrey,3
spring-cloud/spring-cloud-netflix,eacdy,3
AsyncHttpClient/async-http-client,NullP0inter,3
eclipse/che,sr229,3
PhilJay/MPAndroidChart,oatrice,3
react-native-community/react-native-svg,jwrubel,3
facebook/buck,sdwilsh,3
chrisbanes/PhotoView,johnnylambada,3
spring-projects/spring-petclinic,dsyer,3
mybatis/spring-boot-starter,libbylg,3
apache/beam,justintumale,3
bazelbuild/bazel,excitoon,3
naver/pinpoint,anime8,3
openzipkin/zipkin,shakuzen,3
alibaba/jvm-sandbox,settingsun1225,3
zxing/zxing,renfufei,3
hs-web/hsweb-framework,zhou-hao,3
keycloak/keycloak,phillipj,3
gitpitch/gitpitch,phanikandula,3
TechEmpower/FrameworkBenchmarks,ilvalle,3
bazelbuild/bazel,appsforartists,3
apache/lucene-solr,iverase,3
elastic/elasticsearch,fbaligand,3
apache/zookeeper,MichaelYgZhang,3
permissions-dispatcher/PermissionsDispatcher,richaagr,3
SeleniumHQ/selenium,teodesian,3
flyway/flyway,rachnaagg,3
evrencoskun/TableView,cansuvtek,3
objectbox/objectbox-java,woniu0936,3
CarGuo/GSYVideoPlayer,Farrukh381,3
realm/realm-java,softwarejoint,3
CarGuo/GSYVideoPlayer,jingzz1,3
Piasy/BigImageViewer,classTC,3
TeamNewPipe/NewPipe,Raj2032,3
ctripcorp/apollo,wuwen5,3
Bigkoo/Android-PickerView,hongtou820,3
jOOQ/jOOQ,grzegorzbor,3
vavr-io/vavr,NataliiaPrivezentseva,3
mikepenz/FastAdapter,gpulido,3
CarGuo/GSYVideoPlayer,iammasir,3
facebook/fresco,richso,3
requery/requery,deviant-studio,3
spring-cloud/spring-cloud-netflix,jimirocks,3
spring-projects/spring-boot,subinkoovery,3
CymChad/BaseRecyclerViewAdapterHelper,caineyang,3
luojilab/DDComponentForAndroid,ouyangpeng,3
arduino/Arduino,steve-weinrich,3
confluentinc/ksql,aayars,3
CarGuo/GSYVideoPlayer,i2863CookieZJ,3
bazelbuild/bazel,agoulti,3
realm/realm-java,uhha123,3
vert-x3/vertx-examples,tomaszmichalak,3
react-native-community/react-native-svg,ryanhomer,3
Qihoo360/RePlugin,CTO1987,3
web3j/web3j,minhphuong1894,3
redisson/redisson,Comven,3
apache/incubator-skywalking,xjr100419,3
MinecraftForge/MinecraftForge,3TUSK,3
JakeWharton/butterknife,abyrnes,3
openzipkin/zipkin,zuochangan,3
ctripcorp/apollo,zhangyg3,3
lingochamp/FileDownloader,425540302,3
luojilab/DDComponentForAndroid,Yanqilong,3
TeamNewPipe/NewPipe,GranPC,3
javaparser/javaparser,jchensc,3
square/okhttp,zahidgirnar,3
eclipse/che,gnoejuan,3
openzipkin/zipkin,xeraa,3
TeamNewPipe/NewPipe,mammenj,3
Alluxio/alluxio,scienceluo,3
zo0r/react-native-push-notification,l1br3,3
aws/aws-sdk-java,hankwallace,3
react-native-community/react-native-camera,Tsiniloiv,3
openzipkin/zipkin,cgfork,3
MinecraftForge/MinecraftForge,Shadows-of-Fire,3
react-native-community/react-native-camera,adrianha,3
brettwooldridge/HikariCP,billoneil,3
bumptech/glide,pandasys,3
netty/netty,pli2014,3
wix/react-native-navigation,GedoonS,3
katzer/cordova-plugin-local-notifications,saoron,3
guardianproject/haven,fuzzyTew,3
eclipse/che,AMWild,3
eugenp/tutorials,knightdna,3
wix/react-native-navigation,ZiedBeta,3
rstudio/rstudio,GeraldCNelson,3
spring-cloud/spring-cloud-netflix,habuma,3
CarGuo/GSYVideoPlayer,xicong,3
square/dagger,ronshapiro,3
wix/react-native-navigation,tbazko,3
youth5201314/banner,youth5201314,3
bazelbuild/bazel,gregestren,3
CarGuo/GSYVideoPlayer,xie123,3
SeleniumHQ/selenium,praveenreddygm,3
jhy/jsoup,krystiangorecki,3
topjohnwu/Magisk,0o0TheDude0o0,3
FasterXML/jackson-databind,rakeshhny,3
eugenp/tutorials,markusgulden,3
apache/kafka,PnPie,3
raphw/byte-buddy,wu-sheng,3
tomakehurst/wiremock,Mauin,3
TeamNewPipe/NewPipe,usernatilds,3
dbeaver/dbeaver,ahenry2,3
square/okhttp,WalkingRoy,3
thingsboard/thingsboard,rof20004,3
testcontainers/testcontainers-java,stuarthendren,3
CymChad/BaseRecyclerViewAdapterHelper,Vander-liu,3
hazelcast/hazelcast,jevel0per,3
cglib/cglib,yogregg,3
zo0r/react-native-push-notification,jeveloper,3
rzwitserloot/lombok,wltjr,3
evernote/android-job,sandeep-voxer,3
apache/flink,dubin555,3
react-native-community/react-native-camera,bvv218,3
dropwizard/metrics,erikvanoosten,3
runelite/runelite,GibsDev,3
LuckSiege/PictureSelector,kara0905,3
apache/jmeter,PascalSchumacher,3
elastic/elasticsearch,y0299,3
elastic/elasticsearch,serj-p,3
realm/realm-java,gorje001,3
CarGuo/GSYVideoPlayer,yang0000meng,3
elastic/elasticsearch,thomasneirynck,3
SeleniumHQ/selenium,carlosgcampos,3
sparklemotion/nokogiri,larskanis,3
undertow-io/undertow,rhatlapa,3
code-mc/material-icon-lib,code-mc,3
FinalTeam/RxGalleryFinal,7449,3
jfoenixadmin/JFoenix,DanielZhang17,3
deeplearning4j/deeplearning4j,yylonly,3
swagger-api/swagger-core,lociko,3
react-native-community/react-native-camera,vivikenen,3
NLPchina/elasticsearch-sql,imqishi,3
apache/ignite,Jokser,3
arduino/Arduino,xloem,3
oldmanpushcart/greys-anatomy,dslztx,3
languagetool-org/languagetool,TiagoSantos81,3
SeleniumHQ/selenium,hron,3
termux/termux-app,Neo-Oli,3
btraceio/btrace,dineshnagar,3
rzwitserloot/lombok,NorthFacing,3
FasterXML/jackson-databind,LichKing-lee,3
TeamNewPipe/NewPipe,mobtechpd,3
skylot/jadx,codecov[bot],3
Ereza/CustomActivityOnCrash,DominuS-RU,3
pili-engineering/PLDroidPlayer,yazhi1992,3
Graylog2/graylog2-server,TenGbps,3
mikepenz/MaterialDrawer,masterleclerc,3
elastic/elasticsearch,thirugnanamk89,3
google/closure-compiler,jplaisted,3
apache/beam,scwhittle,3
dbeaver/dbeaver,roberto2357,3
hankcs/HanLP,suitool,3
spring-projects/spring-framework,pebo,3
spring-cloud/spring-cloud-netflix,jadetang,3
react-native-community/react-native-camera,ThaJay,3
orientechnologies/orientdb,rdelangh,3
react-native-community/react-native-camera,jtokoph,3
mrniko/netty-socketio,mrniko,3
bumptech/glide,trr-amsiq,3
JessYanCoding/MVPArms,wuyingtong,3
react-native-community/react-native-camera,tstrand,3
stfalcon-studio/ChatKit,ChiHwe,3
scribejava/scribejava,jimgreeno,3
square/picasso,mhlistener,3
deeplearning4j/deeplearning4j,emc5ud,3
scwang90/SmartRefreshLayout,plmmanwu,3
react-native-community/react-native-camera,fbacker,3
Tencent/tinker,zhiqiangli520210,3
bumptech/glide,amankumarjain,3
react-native-community/react-native-camera,wbroek,3
siacs/Conversations,andypl,3
siacs/Conversations,whitetornado,3
ReactiveX/RxJava,Basel78,3
realm/realm-java,nkanellopoulos,3
oblac/jodd,jhult,3
hugeterry/CoordinatorTabLayout,hugeterry,3
bazelbuild/bazel,robfig,3
hazelcast/hazelcast,vmarquez,3
koral--/android-gif-drawable,artiomnist,3
netty/netty,yschimke,3
springfox/springfox,silenceshell,3
facebook/buck,Nickersoft,3
alibaba/freeline,act262,3
prestodb/presto,Tank-zhu,3
apereo/cas,RaphC,3
springfox/springfox,evser,3
LuckSiege/PictureSelector,xuwenfa,3
jenkinsci/jenkins,KostyaSha,3
google/ExoPlayer,AntonAFA,3
facebook/fresco,zzx2016,3
pagehelper/Mybatis-PageHelper,jht385,3
MinecraftForge/MinecraftForge,radfast,3
btraceio/btrace,Tapan2609,3
gocd/gocd,gocd-cla-bot,3
spring-cloud/spring-cloud-netflix,mjeanroy,3
crazycodeboy/TakePhoto,HuanTanSheng,3
Konloch/bytecode-viewer,jangrewe,3
pili-engineering/PLDroidPlayer,AndMy,3
JesusFreke/smali,LeeDroid-,3
square/leakcanary,tokou,3
spring-projects/spring-boot,aaronjwhiteside,3
junit-team/junit5,manueljordan,3
Graylog2/graylog2-server,trevex,3
weibocom/motan,weijinsun,3
apache/beam,Xayley,3
tronprotocol/java-tron,nengun,3
react-native-community/react-native-svg,SethHamilton,3
junit-team/junit5,Tibor17,3
eclipse/che,worksamp,3
OpenRefine/OpenRefine,biiip,3
square/retrofit,nealsanche,3
mikepenz/FastAdapter,bernaferrari,3
google/ExoPlayer,belanagyb,3
elastic/elasticsearch,otrosien,3
processing/processing,hazmatsuitor,3
abel533/Mapper,wuyadong,3
apache/beam,shashank64,3
apache/ignite,sunnychanwork,3
rstudio/rstudio,stephensrmmartin,3
Netflix/ribbon,Aloren,3
eclipse/che,gazarenkov,3
crazyandcoder/citypicker,hushibin,3
MinecraftForge/MinecraftForge,CLAassistant,3
googlesamples/google-services,GrowUpBoy,3
elastic/elasticsearch,boudewijnk,3
spring-projects/spring-boot,ioanngolovko,3
hustcc/JS-Sorting-Algorithm,corningsun,3
elastic/elasticsearch,panffeng,3
YoKeyword/Fragmentation,fanfan1009,3
oracle/graal,ianopolous,3
neo4j/neo4j,jerrinot,3
react-native-community/react-native-camera,OatsAndSquats25,3
spring-cloud/spring-cloud-netflix,Barathi07,3
react-native-community/react-native-svg,tanmaybhatt,3
react-native-community/react-native-camera,markoi,3
jOOQ/jOOQ,rbhammar,3
b3log/solo,iTanken,3
react-native-community/react-native-camera,AlgoTrader,3
wix/react-native-navigation,wwwdata,3
rstudio/rstudio,yihui,3
Blankj/AndroidUtilCode,TCQQ,3
wix/react-native-navigation,ofirdagan,3
