name,month,count,lifespan
Alluxio/alluxio,2016-07-01T00:00:00,186,4554.354838709678
Alluxio/alluxio,2016-08-01T00:00:00,126,3275.5952380952381
Alluxio/alluxio,2016-09-01T00:00:00,100,2910.09
Alluxio/alluxio,2016-10-01T00:00:00,291,2078.8006872852234
Alluxio/alluxio,2016-11-01T00:00:00,128,3540.8125000000009
Alluxio/alluxio,2016-12-01T00:00:00,129,2915.4883720930234
Alluxio/alluxio,2017-01-01T00:00:00,190,4060.6
Alluxio/alluxio,2017-02-01T00:00:00,108,3903.6111111111113
Alluxio/alluxio,2017-03-01T00:00:00,186,4942.1236559139788
Alluxio/alluxio,2017-04-01T00:00:00,253,6193.10671936759
Alluxio/alluxio,2017-05-01T00:00:00,260,7720.2653846153835
Alluxio/alluxio,2017-06-01T00:00:00,211,3874.497630331753
Alluxio/alluxio,2017-07-01T00:00:00,122,14888.696721311477
Alluxio/alluxio,2017-08-01T00:00:00,142,4818.8521126760579
Alluxio/alluxio,2017-09-01T00:00:00,232,8873.043103448279
Alluxio/alluxio,2017-10-01T00:00:00,140,7185.0571428571438
Alluxio/alluxio,2017-11-01T00:00:00,208,31148.34615384616
Alluxio/alluxio,2017-12-01T00:00:00,120,4910.6916666666675
Alluxio/alluxio,2018-02-01T00:00:00,71,3494.0985915492952
Alluxio/alluxio,2018-03-01T00:00:00,91,3746.9999999999986
Alluxio/alluxio,2018-04-01T00:00:00,184,3740.2065217391314
Alluxio/alluxio,2018-05-01T00:00:00,100,6492.6799999999994
Alluxio/alluxio,2018-06-01T00:00:00,160,5242.9437500000022
Alluxio/alluxio,2018-07-01T00:00:00,170,2688.0294117647059
Alluxio/alluxio,2018-08-01T00:00:00,93,5953.2903225806476
Alluxio/alluxio,2018-09-01T00:00:00,93,4835.0752688172051
Alluxio/alluxio,2018-10-01T00:00:00,156,5015.0705128205127
Alluxio/alluxio,2018-11-01T00:00:00,73,7812.6712328767117
Alluxio/alluxio,2018-12-01T00:00:00,40,8154.7499999999973
Alluxio/alluxio,2019-01-01T00:00:00,6,11460.999999999998
AltBeacon/android-beacon-library,2016-01-01T00:00:00,1,8723.0
AltBeacon/android-beacon-library,2016-02-01T00:00:00,5,43220.399999999994
AltBeacon/android-beacon-library,2016-03-01T00:00:00,3,4172.0
AltBeacon/android-beacon-library,2016-04-01T00:00:00,4,374.25
AltBeacon/android-beacon-library,2016-05-01T00:00:00,2,3627.5
AltBeacon/android-beacon-library,2016-06-01T00:00:00,5,6859.4
AltBeacon/android-beacon-library,2016-07-01T00:00:00,1,58.0
AltBeacon/android-beacon-library,2016-08-01T00:00:00,1,8418.0
AltBeacon/android-beacon-library,2016-09-01T00:00:00,6,1013.3333333333334
AltBeacon/android-beacon-library,2016-10-01T00:00:00,2,38783.0
AltBeacon/android-beacon-library,2016-11-01T00:00:00,5,25426.399999999998
AltBeacon/android-beacon-library,2017-03-01T00:00:00,2,515745.0
AltBeacon/android-beacon-library,2017-04-01T00:00:00,11,16226.90909090909
AltBeacon/android-beacon-library,2017-05-01T00:00:00,6,21104.333333333332
AltBeacon/android-beacon-library,2017-06-01T00:00:00,8,13019.25
AltBeacon/android-beacon-library,2017-07-01T00:00:00,2,4351.5
